Date,Dies,Disease
07.10.20,110138.5,3929650.0
07.10.21,401283.5,24254883.5
07.11.20,124319.5,5283446.0
07.11.21,424462.5,25660229.5
07.12.20,152195.0,8128717.5
07.12.21,446679.0,27826525.0
08.01.21,206261.0,11990698.5
08.01.22,475292.0,33702812.5
08.02.20,0.0,12.5
08.02.21,265086.5,14769351.5
08.02.22,513224.5,44199953.5
08.03.20,10.5,683.0
08.03.21,297821.5,15856160.5
08.03.22,541691.0,47699949.5
08.04.20,10555.0,272562.5
08.04.21,316850.5,17016675.5
08.04.22,558442.0,51488022.5
08.05.20,43929.5,728216.0
08.05.21,331015.5,18151419.0
08.06.20,61300.0,1069441.0
08.06.21,341658.0,18600794.5
08.07.20,70746.5,1629187.5
08.07.21,346845.0,18818510.5
08.08.20,85690.0,2603057.0
08.08.21,352475.0,19852044.5
08.09.20,99053.5,3297335.0
08.09.21,371426.5,22324260.0
08.10.20,110635.0,3960624.5
08.10.21,402226.5,24325809.0
08.11.20,124627.5,5351291.5
08.11.21,425109.0,25723359.0
08.12.20,153693.0,8249273.0
08.12.21,447850.5,27936278.0
09.01.21,208420.0,12135421.5
09.01.22,475624.5,33963563.0
09.02.20,0.0,13.0
09.02.21,266844.5,14818730.5
09.02.22,515074.5,44411278.5
09.03.20,12.0,853.0
09.03.21,298837.0,15886039.0
09.03.22,542857.5,47826729.0
09.04.20,11785.0,292854.5
09.04.21,317452.0,17071784.0
09.04.22,558598.5,51522183.5
09.05.20,44713.5,741068.5
09.05.21,331207.5,18169182.0
09.06.20,61775.5,1079776.5
09.06.21,341954.0,18611704.0
09.07.20,71268.0,1659236.5
09.07.21,347101.5,18842782.5
09.08.20,85976.5,2630468.0
09.08.21,352736.5,19932530.5
09.09.20,99609.0,3314742.0
09.09.21,373059.0,22415186.0
09.10.20,111124.0,3990422.5
09.10.21,402472.5,24349651.0
09.11.20,125038.0,5416451.0
09.11.21,425907.0,25773454.0
09.12.20,155569.5,8367688.0
09.12.21,448869.0,28033847.0
10.01.21,209696.5,12249319.0
10.01.22,476656.5,34668088.0
10.02.20,0.0,13.0
10.02.21,268948.0,14870407.0
10.02.22,516826.0,44620846.0
10.03.20,15.0,1039.0
10.03.21,299757.0,15919498.5
10.03.22,543871.5,47981399.5
10.04.20,13011.0,312657.5
10.04.21,317954.0,17119100.0
10.04.22,558616.0,51542178.0
10.05.20,45227.0,750775.0
10.05.21,331429.0,18188831.5
10.06.20,62222.0,1090794.5
10.06.21,342207.5,18620687.5
10.07.20,71679.0,1693863.0
10.07.21,347162.0,18848318.5
10.08.20,86235.5,2656494.5
10.08.21,353162.5,19992671.5
10.09.20,100063.5,3335412.0
10.09.21,374322.5,22542679.5
10.10.20,111458.0,4020467.0
10.10.21,402723.0,24373292.0
10.11.20,125819.0,5492394.5
10.11.21,426864.5,25840825.5
10.12.20,157278.0,8497999.5
10.12.21,450010.5,28143590.5
11.01.21,210785.0,12357552.0
11.01.22,478052.0,35084542.0
11.02.20,0.0,14.5
11.02.21,270863.5,14928913.0
11.02.22,518284.0,44845592.0
11.03.20,18.0,1357.0
11.03.21,300694.0,15957572.0
11.03.22,544815.5,48132676.0
11.04.20,14164.5,329186.0
11.04.21,318150.0,17151755.5
11.04.22,558921.5,51664186.0
11.05.20,45755.0,760492.0
11.05.21,331918.0,18209633.0
11.06.20,62643.5,1102211.0
11.06.21,342525.0,18634483.0
11.07.20,72059.0,1724271.5
11.07.21,347226.0,18854564.5
11.08.20,86786.0,2685455.5
11.08.21,353564.5,20072388.0
11.09.20,100638.0,3358465.5
11.09.21,374756.0,22592848.0
11.10.20,111692.0,4045658.5
11.10.21,403317.0,24422879.0
11.11.20,126660.5,5575479.5
11.11.21,427418.0,25894744.5
11.12.20,159261.5,8632392.0
11.12.21,450565.5,28198730.5
12.01.21,213414.5,12474860.0
12.01.22,479647.0,35549028.0
12.02.20,0.0,14.5
12.02.21,272562.5,14984134.5
12.02.22,518787.5,44976417.5
12.03.20,24.0,1977.5
12.03.21,301526.5,15995291.0
12.03.22,545067.5,48256327.5
12.04.20,15173.5,343750.5
12.04.21,318421.0,17189470.0
12.04.22,559382.5,51747438.0
12.05.20,46607.5,772649.5
